               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076659,            0.070365,            0.037076,             0.72025,             0.38699,             0.36409,             0.14261,            0.057959,             0.02848,            0.021554,             0.07008,           0.0033245,           0.0033245
                   1,            0.058212,            0.056528,            0.021597,              0.6181,             0.55652,             0.52998,             0.24061,             0.05105,            0.026732,            0.016151,             0.03986,           0.0064381,           0.0064381
                   2,            0.054832,            0.055098,            0.016912,              0.8466,             0.65117,              0.7011,             0.31875,            0.044292,            0.026769,            0.011891,           0.0094204,           0.0093317,           0.0093317
                   3,            0.049235,            0.053363,            0.013908,             0.88382,             0.65271,             0.81397,             0.41345,            0.041037,            0.025949,            0.010383,             0.00901,             0.00901,             0.00901
                   4,            0.046164,            0.053697,            0.012575,             0.79313,             0.75319,             0.81293,             0.40023,            0.039522,            0.026181,            0.009887,             0.00901,             0.00901,             0.00901
                   5,            0.044108,            0.052962,            0.011482,             0.84065,              0.7903,             0.86623,             0.42947,            0.038441,            0.026516,           0.0095487,             0.00868,             0.00868,             0.00868
                   6,            0.042657,            0.053467,            0.010794,             0.91697,             0.74673,             0.85816,             0.43938,            0.038225,            0.026208,           0.0093008,             0.00835,             0.00835,             0.00835
                   7,            0.041169,            0.052238,            0.010192,             0.88006,             0.73023,             0.84987,             0.42551,            0.038401,            0.026252,           0.0097893,             0.00802,             0.00802,             0.00802
                   8,            0.040273,            0.051222,           0.0098949,             0.82182,             0.82096,             0.88634,             0.42427,            0.038289,            0.025944,           0.0084347,             0.00769,             0.00769,             0.00769
                   9,            0.039529,            0.050823,           0.0094459,             0.88773,             0.75786,             0.86172,             0.42742,            0.037489,            0.025998,           0.0092804,             0.00736,             0.00736,             0.00736
                  10,            0.038767,            0.050296,           0.0090546,              0.9072,             0.76006,             0.87701,             0.43645,            0.036948,            0.025979,           0.0094687,             0.00703,             0.00703,             0.00703
                  11,            0.038233,             0.04997,           0.0089763,             0.88063,             0.73694,             0.80997,             0.42345,            0.036658,            0.026632,           0.0094867,              0.0067,              0.0067,              0.0067
                  12,            0.037246,            0.048556,             0.00844,             0.91673,             0.74324,             0.85527,             0.46712,            0.036267,            0.026013,           0.0090452,             0.00637,             0.00637,             0.00637
                  13,            0.037087,            0.048062,           0.0084054,             0.93172,             0.73361,             0.85671,             0.43955,            0.036052,            0.026021,           0.0093423,             0.00604,             0.00604,             0.00604
                  14,            0.036448,            0.047058,           0.0082959,             0.84003,             0.77762,             0.83669,             0.41938,            0.037106,              0.0262,            0.010648,             0.00571,             0.00571,             0.00571
                  15,            0.035847,            0.047562,           0.0081852,              0.9039,             0.75147,               0.889,             0.43981,            0.036274,            0.026194,           0.0088457,             0.00538,             0.00538,             0.00538
                  16,            0.035698,            0.046855,           0.0079638,             0.84082,             0.73487,             0.86594,             0.45873,            0.035959,             0.02596,           0.0088138,             0.00505,             0.00505,             0.00505
                  17,            0.034924,            0.046829,           0.0075551,             0.87109,             0.80232,             0.88533,             0.44658,            0.036756,            0.026104,           0.0092905,             0.00472,             0.00472,             0.00472
                  18,            0.034772,            0.047231,           0.0077514,             0.87391,             0.80463,             0.89456,             0.45539,            0.036488,            0.027129,           0.0094294,             0.00439,             0.00439,             0.00439
                  19,            0.034304,             0.04573,           0.0075226,             0.88512,             0.80678,             0.89074,             0.43986,            0.036817,            0.026542,           0.0092131,             0.00406,             0.00406,             0.00406
                  20,             0.03363,            0.045247,           0.0073518,             0.89294,             0.78063,             0.86628,             0.44136,            0.037218,            0.027221,            0.009634,             0.00373,             0.00373,             0.00373
                  21,            0.033495,            0.044811,           0.0072434,              0.7543,             0.80821,             0.83567,              0.4432,            0.037155,            0.027223,           0.0095993,              0.0034,              0.0034,              0.0034
                  22,            0.033328,             0.04494,           0.0071225,             0.92235,             0.80333,             0.89798,             0.45151,            0.036555,            0.027214,           0.0092657,             0.00307,             0.00307,             0.00307
                  23,            0.032678,            0.044894,           0.0069244,             0.90147,             0.77394,             0.87812,             0.46208,            0.036383,            0.027199,            0.010398,             0.00274,             0.00274,             0.00274
                  24,            0.032056,            0.043836,           0.0068641,             0.81784,              0.7534,             0.82399,             0.44984,            0.036634,            0.028231,           0.0098972,             0.00241,             0.00241,             0.00241
                  25,            0.031786,            0.043423,           0.0068069,             0.85354,             0.73534,             0.83394,             0.44861,            0.036874,            0.027549,            0.010308,             0.00208,             0.00208,             0.00208
                  26,            0.031784,            0.043485,           0.0067015,              0.8578,              0.7599,             0.84587,             0.44112,            0.037061,            0.027983,            0.010517,             0.00175,             0.00175,             0.00175
                  27,            0.031485,            0.042911,           0.0065571,             0.88558,             0.77041,             0.85967,             0.44165,            0.037317,            0.027867,            0.010485,             0.00142,             0.00142,             0.00142
                  28,            0.031195,            0.043124,           0.0065655,             0.85764,             0.74336,             0.81213,             0.42985,            0.036699,            0.028154,            0.010797,             0.00109,             0.00109,             0.00109
                  29,            0.030649,            0.042917,           0.0063218,             0.91369,              0.7622,             0.85743,             0.44529,            0.037084,            0.028351,            0.011399,             0.00076,             0.00076,             0.00076
